date,line,shift,product,reason,duration_minutes
2026-07-01,Line-A,Shift-1,Housing,Tooling adjustment,9
2026-07-01,Line-A,Shift-1,Housing,Changeover,24
2026-07-01,Line-A,Shift-2,Bracket,Maintenance,43
2026-07-01,Line-A,Shift-3,Sensor Mount,Material shortage,22
2026-07-01,Line-B,Shift-1,Bracket,Minor stop,46
2026-07-01,Line-B,Shift-2,Connector,Quality hold,19
2026-07-01,Line-B,Shift-2,Connector,Changeover,4
2026-07-01,Line-B,Shift-2,Connector,Changeover,9
2026-07-01,Line-B,Shift-3,Connector,Tooling adjustment,7
2026-07-01,Line-B,Shift-3,Connector,Tooling adjustment,9
2026-07-01,Line-B,Shift-3,Connector,Tooling adjustment,8
2026-07-01,Line-C,Shift-1,Sensor Mount,Maintenance,25
2026-07-01,Line-C,Shift-1,Sensor Mount,Tooling adjustment,9
2026-07-01,Line-C,Shift-1,Sensor Mount,Minor stop,18
2026-07-01,Line-C,Shift-1,Sensor Mount,Changeover,2
2026-07-01,Line-C,Shift-2,Connector,Quality hold,14
2026-07-01,Line-C,Shift-2,Connector,Maintenance,42
2026-07-01,Line-C,Shift-2,Connector,Tooling adjustment,1
2026-07-01,Line-C,Shift-3,Housing,Maintenance,38
2026-07-01,Line-C,Shift-3,Housing,Material shortage,7
2026-07-01,Line-C,Shift-3,Housing,Maintenance,3
2026-07-01,Line-C,Shift-3,Housing,Quality hold,5
2026-07-02,Line-A,Shift-1,Bracket,Maintenance,5
2026-07-02,Line-A,Shift-1,Bracket,Quality hold,25
2026-07-02,Line-A,Shift-1,Bracket,Maintenance,7
2026-07-02,Line-A,Shift-1,Bracket,Minor stop,2
2026-07-02,Line-A,Shift-2,Sensor Mount,Maintenance,33
2026-07-02,Line-A,Shift-2,Sensor Mount,Changeover,3
2026-07-02,Line-A,Shift-2,Sensor Mount,Tooling adjustment,9
2026-07-02,Line-A,Shift-3,Connector,Maintenance,38
2026-07-02,Line-B,Shift-1,Sensor Mount,Material shortage,16
2026-07-02,Line-B,Shift-1,Sensor Mount,Maintenance,4
2026-07-02,Line-B,Shift-1,Sensor Mount,Changeover,39
2026-07-02,Line-B,Shift-2,Sensor Mount,Quality hold,36
2026-07-02,Line-B,Shift-2,Sensor Mount,Maintenance,3
2026-07-02,Line-B,Shift-2,Sensor Mount,Quality hold,5
2026-07-02,Line-B,Shift-2,Sensor Mount,Material shortage,5
2026-07-02,Line-B,Shift-3,Housing,Minor stop,3
2026-07-02,Line-B,Shift-3,Housing,Changeover,17
2026-07-02,Line-C,Shift-1,Connector,Material shortage,5
2026-07-02,Line-C,Shift-1,Connector,Maintenance,33
2026-07-02,Line-C,Shift-1,Connector,Tooling adjustment,25
2026-07-02,Line-C,Shift-2,Housing,Maintenance,31
2026-07-02,Line-C,Shift-2,Housing,Material shortage,17
2026-07-02,Line-C,Shift-3,Bracket,Maintenance,46
2026-07-03,Line-A,Shift-1,Sensor Mount,Minor stop,9
2026-07-03,Line-A,Shift-1,Sensor Mount,Quality hold,14
2026-07-03,Line-A,Shift-1,Sensor Mount,Material shortage,3
2026-07-03,Line-A,Shift-1,Sensor Mount,Changeover,10
2026-07-03,Line-A,Shift-2,Connector,Quality hold,6
2026-07-03,Line-A,Shift-2,Connector,Quality hold,19
2026-07-03,Line-A,Shift-3,Housing,Material shortage,19
2026-07-03,Line-A,Shift-3,Housing,Material shortage,7
2026-07-03,Line-A,Shift-3,Housing,Minor stop,8
2026-07-03,Line-A,Shift-3,Housing,Material shortage,1
2026-07-03,Line-B,Shift-1,Connector,Changeover,17
2026-07-03,Line-B,Shift-1,Connector,Maintenance,15
2026-07-03,Line-B,Shift-1,Connector,Changeover,1
2026-07-03,Line-B,Shift-1,Connector,Material shortage,1
2026-07-03,Line-B,Shift-2,Connector,Quality hold,58
2026-07-03,Line-B,Shift-3,Bracket,Material shortage,7
2026-07-03,Line-B,Shift-3,Bracket,Minor stop,11
2026-07-03,Line-B,Shift-3,Bracket,Quality hold,7
2026-07-03,Line-C,Shift-1,Housing,Maintenance,36
2026-07-03,Line-C,Shift-2,Bracket,Maintenance,46
2026-07-03,Line-C,Shift-3,Sensor Mount,Maintenance,63
2026-07-04,Line-A,Shift-1,Connector,Material shortage,22
2026-07-04,Line-A,Shift-1,Connector,Tooling adjustment,17
