date,line,shift,product,reason,quantity
2026-07-01,Line-A,Shift-1,Housing,Handling damage,5
2026-07-01,Line-A,Shift-1,Housing,Missing component,1
2026-07-01,Line-A,Shift-1,Housing,Dimensional out-of-spec,1
2026-07-01,Line-A,Shift-2,Bracket,Handling damage,11
2026-07-01,Line-A,Shift-3,Sensor Mount,Assembly misalignment,2
2026-07-01,Line-A,Shift-3,Sensor Mount,Surface defect,2
2026-07-01,Line-A,Shift-3,Sensor Mount,Surface defect,1
2026-07-01,Line-B,Shift-1,Bracket,Assembly misalignment,5
2026-07-01,Line-B,Shift-1,Bracket,Dimensional out-of-spec,1
2026-07-01,Line-B,Shift-2,Connector,Dimensional out-of-spec,8
2026-07-01,Line-B,Shift-2,Connector,Surface defect,10
2026-07-01,Line-B,Shift-2,Connector,Dimensional out-of-spec,10
2026-07-01,Line-B,Shift-3,Connector,Handling damage,16
2026-07-01,Line-C,Shift-1,Sensor Mount,Dimensional out-of-spec,4
2026-07-01,Line-C,Shift-2,Connector,Assembly misalignment,3
2026-07-01,Line-C,Shift-2,Connector,Surface defect,7
2026-07-01,Line-C,Shift-3,Housing,Dimensional out-of-spec,7
2026-07-02,Line-A,Shift-1,Bracket,Handling damage,1
2026-07-02,Line-A,Shift-1,Bracket,Assembly misalignment,1
2026-07-02,Line-A,Shift-1,Bracket,Assembly misalignment,4
2026-07-02,Line-A,Shift-2,Sensor Mount,Handling damage,6
2026-07-02,Line-A,Shift-2,Sensor Mount,Handling damage,1
2026-07-02,Line-A,Shift-3,Connector,Dimensional out-of-spec,8
2026-07-02,Line-A,Shift-3,Connector,Dimensional out-of-spec,4
2026-07-02,Line-B,Shift-1,Sensor Mount,Missing component,9
2026-07-02,Line-B,Shift-2,Sensor Mount,Assembly misalignment,4
2026-07-02,Line-B,Shift-2,Sensor Mount,Missing component,6
2026-07-02,Line-B,Shift-2,Sensor Mount,Assembly misalignment,2
2026-07-02,Line-B,Shift-3,Housing,Surface defect,2
2026-07-02,Line-B,Shift-3,Housing,Dimensional out-of-spec,3
2026-07-02,Line-B,Shift-3,Housing,Dimensional out-of-spec,1
2026-07-02,Line-C,Shift-1,Connector,Handling damage,2
2026-07-02,Line-C,Shift-1,Connector,Surface defect,5
2026-07-02,Line-C,Shift-2,Housing,Dimensional out-of-spec,9
2026-07-02,Line-C,Shift-3,Bracket,Dimensional out-of-spec,6
2026-07-02,Line-C,Shift-3,Bracket,Missing component,1
2026-07-02,Line-C,Shift-3,Bracket,Assembly misalignment,2
2026-07-03,Line-A,Shift-1,Sensor Mount,Dimensional out-of-spec,3
