date,line,shift,product,planned_minutes,downtime_minutes,operating_minutes,ideal_cycle_time_sec,total_units,good_units,scrap_units
2026-07-01,Line-A,Shift-1,Housing,480,33,447,42,575,568,7
2026-07-01,Line-A,Shift-2,Bracket,480,43,437,38,631,620,11
2026-07-01,Line-A,Shift-3,Sensor Mount,480,22,458,55,426,421,5
2026-07-01,Line-B,Shift-1,Bracket,480,46,434,38,615,609,6
2026-07-01,Line-B,Shift-2,Connector,480,32,448,48,478,450,28
2026-07-01,Line-B,Shift-3,Connector,480,24,456,48,523,507,16
2026-07-01,Line-C,Shift-1,Sensor Mount,480,54,426,55,377,373,4
2026-07-01,Line-C,Shift-2,Connector,480,57,423,48,457,447,10
2026-07-01,Line-C,Shift-3,Housing,480,53,427,42,575,568,7
2026-07-02,Line-A,Shift-1,Bracket,480,39,441,38,619,613,6
2026-07-02,Line-A,Shift-2,Sensor Mount,480,45,435,55,419,412,7
2026-07-02,Line-A,Shift-3,Connector,480,38,442,48,511,499,12
2026-07-02,Line-B,Shift-1,Sensor Mount,480,59,421,55,374,365,9
2026-07-02,Line-B,Shift-2,Sensor Mount,480,49,431,55,348,336,12
2026-07-02,Line-B,Shift-3,Housing,480,20,460,42,594,588,6
2026-07-02,Line-C,Shift-1,Connector,480,63,417,48,466,459,7
2026-07-02,Line-C,Shift-2,Housing,480,48,432,42,504,495,9
2026-07-02,Line-C,Shift-3,Bracket,480,46,434,38,581,572,9
2026-07-03,Line-A,Shift-1,Sensor Mount,480,36,444,55,403,399,4
2026-07-03,Line-A,Shift-2,Connector,480,25,455,48,490,483,7
2026-07-03,Line-A,Shift-3,Housing,480,35,445,42,563,555,8
2026-07-03,Line-B,Shift-1,Connector,480,34,446,48,498,488,10
2026-07-03,Line-B,Shift-2,Connector,480,58,422,48,499,469,30
2026-07-03,Line-B,Shift-3,Bracket,480,25,455,38,600,592,8
2026-07-03,Line-C,Shift-1,Housing,480,36,444,42,594,579,15
2026-07-03,Line-C,Shift-2,Bracket,480,46,434,38,622,613,9
2026-07-03,Line-C,Shift-3,Sensor Mount,480,63,417,55,349,342,7
2026-07-04,Line-A,Shift-1,Connector,480,39,441,48,509,496,13
2026-07-04,Line-A,Shift-2,Housing,480,46,434,42,580,573,7
2026-07-04,Line-A,Shift-3,Bracket,480,42,438,38,640,626,14
2026-07-04,Line-B,Shift-1,Housing,480,11,469,42,593,582,11
2026-07-04,Line-B,Shift-2,Sensor Mount,480,37,443,55,428,411,17
2026-07-04,Line-B,Shift-3,Sensor Mount,480,45,435,55,421,415,6
2026-07-04,Line-C,Shift-1,Bracket,480,70,410,38,559,552,7
2026-07-04,Line-C,Shift-2,Sensor Mount,480,40,440,55,448,436,12
2026-07-04,Line-C,Shift-3,Connector,480,60,420,48,451,436,15
2026-07-05,Line-A,Shift-1,Housing,480,41,439,42,569,555,14
2026-07-05,Line-A,Shift-2,Bracket,480,23,457,38,585,572,13
2026-07-05,Line-A,Shift-3,Sensor Mount,480,15,465,55,419,413,6
